label,tweet,label_mapped
angry,dell menjual saya sebuah dell xps dengan kegagalan memori ram dan mereka ingin saya membayar untuk memperbaikinya ini setelah mereka mengklaim telah tetap dan tidak begitu banyak waktu dan uang dell xps is tras dell dellxps,Anger
angry,apakah anda mendukung agenda ekstrim ini atau anda akan berdiri untuk abbott anda tidak dapat tetap diam,Anger
angry,mencoba yang terbaik untuk memberikan uang saya akhir pekan ini tapi tidak bisa melalui tim penjualan mereka atau melakukan pembelian di situs web ketika seseorang menjawab mereka menawarkan untuk mentransfer saya lagi untuk referensi membuat saya kutipan dalam dua jam,Anger
angry,telah memutuskan untuk tetap bersama putin saya harap anda mengerti bahwa mulai saat ini jika bisnis amerika anda masih memiliki pusat panggilan di india anda adalah pengkhianat,Anger
angry,setelah hari perusahaan mengirim laptop tetapi konfigurasi yang salah seperti layanan terburuk masih saya tidak tahu berapa banyak waktu saya akan menunggu worst services masih saya tidak tahu berapa banyak waktu saya akan menunggu worst services,Anger
angry,model layanan ketika sistem lambat dan tidak pada bantuan teknologi telepon atau youtube tapi layanan dell masih meminta saya untuk menjalankan diagnostik bagaimana jika seseorang dapat membantu di tempat yang merupakan bagian dari kesepakatan layanan,Anger
angry,tidak dapat mendapatkan kunci pemulihan bitlocker saya,Anger
angry,fix bukan yard ternyata tebalnya hanya mm tipis boss gak sesuai judul,Anger
angry,aku membeli xps sedikit lebih dari setahun yang lalu dan sekarang itu benar benar tidak berguna aku membuang ke tempat sampah kartu ibu rusak pena yang biaya ekstra juga mendapat rusak,Anger
angry,standwithukraine close dan menghentikan semua koneksi dengan rusia hentikan semua kontrak dan lisensi batalkan semua layanan ke rusia,Anger
angry,bisakah saya mendapatkan dukungan apapun dari tim penjualan di india,Anger
angry,marah banget karena ending bukunya tidak sesuai ekspektasi bikin kecewa,Anger
angry,ya harus mengganti produk dalam kasus ini banyak teman teman saya menghadapi masalah yang sama dan lelah akan hal ini,Anger
angry,iklan baru dengan orang orang bersiul itu jahat lebih buruk daripada kuku di papan tulis,Anger
